student_id,email_address,first_name,last_name,courses,grade,marks
1,updated1@example.edu,NEW1,LNEW1,C102,A,99
3,student3@example.edu,FN3,LN3,C101,A,97
5,student5@example.edu,FN5,LN5,C101,B,32
7,student7@example.edu,FN7,LN7,C101,B,63
9,student9@example.edu,FN9,LN9,C101,B,57
11,student11@example.edu,FN11,LN11,C101,B,83
12,student12@example.edu,FN12,LN12,C101,B,48
13,student13@example.edu,FN13,LN13,C101,A,100
14,student14@example.edu,FN14,LN14,C101,B,26
15,student15@example.edu,FN15,LN15,C101,B,12
16,student16@example.edu,FN16,LN16,C101,B,62
17,student17@example.edu,FN17,LN17,C101,B,3
18,student18@example.edu,FN18,LN18,C101,B,49
19,student19@example.edu,FN19,LN19,C101,B,55
20,student20@example.edu,FN20,LN20,C101,B,77
21,student21@example.edu,FN21,LN21,C101,A,97
22,student22@example.edu,FN22,LN22,C101,A,98
23,student23@example.edu,FN23,LN23,C101,B,0
24,student24@example.edu,FN24,LN24,C101,B,89
25,student25@example.edu,FN25,LN25,C101,B,57
26,student26@example.edu,FN26,LN26,C101,B,34
27,student27@example.edu,FN27,LN27,C101,A,92
28,student28@example.edu,FN28,LN28,C101,B,29
29,student29@example.edu,FN29,LN29,C101,B,75
30,student30@example.edu,FN30,LN30,C101,B,13
31,student31@example.edu,FN31,LN31,C101,B,40
32,student32@example.edu,FN32,LN32,C101,B,3
33,student33@example.edu,FN33,LN33,C101,B,2
34,student34@example.edu,FN34,LN34,C101,B,3
35,student35@example.edu,FN35,LN35,C101,B,83
36,student36@example.edu,FN36,LN36,C101,B,69
37,student37@example.edu,FN37,LN37,C101,B,1
38,student38@example.edu,FN38,LN38,C101,B,48
39,student39@example.edu,FN39,LN39,C101,B,87
40,student40@example.edu,FN40,LN40,C101,B,27
41,student41@example.edu,FN41,LN41,C101,B,54
42,student42@example.edu,FN42,LN42,C101,A,92
43,student43@example.edu,FN43,LN43,C101,B,3
44,student44@example.edu,FN44,LN44,C101,B,67
45,student45@example.edu,FN45,LN45,C101,B,28
46,student46@example.edu,FN46,LN46,C101,A,97
47,student47@example.edu,FN47,LN47,C101,B,56
48,student48@example.edu,FN48,LN48,C101,B,63
49,student49@example.edu,FN49,LN49,C101,B,70
50,student50@example.edu,FN50,LN50,C101,B,29
51,student51@example.edu,FN51,LN51,C101,B,44
52,student52@example.edu,FN52,LN52,C101,B,29
53,student53@example.edu,FN53,LN53,C101,B,86
54,student54@example.edu,FN54,LN54,C101,B,28
55,student55@example.edu,FN55,LN55,C101,A,97
56,student56@example.edu,FN56,LN56,C101,B,58
57,student57@example.edu,FN57,LN57,C101,B,37
58,student58@example.edu,FN58,LN58,C101,B,2
59,student59@example.edu,FN59,LN59,C101,B,53
60,student60@example.edu,FN60,LN60,C101,B,71
61,student61@example.edu,FN61,LN61,C101,B,82
62,student62@example.edu,FN62,LN62,C101,B,12
63,student63@example.edu,FN63,LN63,C101,B,23
64,student64@example.edu,FN64,LN64,C101,B,80
65,student65@example.edu,FN65,LN65,C101,A,92
66,student66@example.edu,FN66,LN66,C101,B,37
67,student67@example.edu,FN67,LN67,C101,B,15
68,student68@example.edu,FN68,LN68,C101,A,95
69,student69@example.edu,FN69,LN69,C101,B,42
70,student70@example.edu,FN70,LN70,C101,A,92
71,student71@example.edu,FN71,LN71,C101,A,91
72,student72@example.edu,FN72,LN72,C101,B,64
73,student73@example.edu,FN73,LN73,C101,B,54
74,student74@example.edu,FN74,LN74,C101,B,64
75,student75@example.edu,FN75,LN75,C101,B,85
76,student76@example.edu,FN76,LN76,C101,B,24
77,student77@example.edu,FN77,LN77,C101,B,38
78,student78@example.edu,FN78,LN78,C101,B,36
79,student79@example.edu,FN79,LN79,C101,B,75
80,student80@example.edu,FN80,LN80,C101,B,63
